Ad Name,Account,Ad ID,Creative Type,Priority,Priority Score,CVR (%),CPA ($),Spend ($),Performance Rating,ROI Category,Hook Type,Hook Category,Campaign Season,Action Required,Notes,GitHub Asset URL,GitHub Raw URL,Download Status,Video File Extension,Created Date,Last Updated
01 David Influencer WINNER,TurnedYellow,120207192312690108,VIDEO,🥇 SCALE IMMEDIATELY,5,11.11,11.75,70.5,🔥 EXCEPTIONAL,💰 HIGH ROI,Influencer Testimonial,👑 AUTHORITY,Year-Round,Scale budget +200%,Best performer - Authority hook with social proof,https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/01_David_Influencer_WINNER.mp4,https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/01_David_Influencer_WINNER.mp4,PENDING,.mp4,2025-06-24,2025-06-24 12:32:41
02 TY Video 1 HIGH HOOK,TurnedYellow,120203471547490108,VIDEO,🥈 SCALE EXCELLENT,4,5.88,17.0,85.0,⭐ EXCELLENT,💚 PROFITABLE,Product Demo,👑 AUTHORITY,Year-Round,Scale budget +100%,Strong hook rate - Make anyone laugh,https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/02_TY_Video_1_HIGH_HOOK.mp4,https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/02_TY_Video_1_HIGH_HOOK.mp4,PENDING,.mp4,2025-06-24,2025-06-24 12:32:41
03 Royal Inspo Hook STRONG,TurnedYellow,120208078497390108,VIDEO,🥈 SCALE EXCELLENT,4,4.76,21.0,95.0,✅ GOOD,📈 SCALING,Aspirational Hook,📋 OTHER,Year-Round,Scale budget +100%,Looking for a royal transformation,https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/03_Royal_Inspo_Hook_STRONG.mp4,https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/03_Royal_Inspo_Hook_STRONG.mp4,PENDING,.mp4,2025-06-24,2025-06-24 12:32:41
04 Early BF Gifs Boomerangs,TurnedYellow,120213125762460108,VIDEO,🟡 TEST SCALE,3,3.85,26.0,45.0,✅ GOOD,📈 SCALING,Seasonal Urgency,⚡ URGENCY,Black Friday,Test with higher budget,Early Black Friday - Up to 70% off,https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/04_Early_BF_Gifs_Boomerangs.mp4,https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/04_Early_BF_Gifs_Boomerangs.mp4,PENDING,.mp4,2025-06-24,2025-06-24 12:32:41
05 Fathers Day Video 2025,TurnedYellow,120224359380510108,VIDEO,🟡 TEST SCALE,3,3.21,31.0,62.0,✅ GOOD,📈 SCALING,Gift Giving,💝 EMOTIONAL,Father's Day,Test with higher budget,Father's Day 2025 - Gift Dad,https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/05_Fathers_Day_Video_2025.mp4,https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/05_Fathers_Day_Video_2025.mp4,PENDING,.mp4,2025-06-24,2025-06-24 12:32:41
06 Fathers Day AI VO ACTIVE,TurnedYellow,120225691159680108,VIDEO,🔴 CURRENTLY ACTIVE,2,2.95,34.0,120.0,⚠️ AVERAGE,🔍 TESTING,AI Voice Over,📋 OTHER,Father's Day,Monitor performance,Currently running - Bring a smile,https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/06_Fathers_Day_AI_VO_ACTIVE.mp4,https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/06_Fathers_Day_AI_VO_ACTIVE.mp4,PENDING,.mp4,2025-06-24,2025-06-24 12:32:41
07 Us vs Them Comparison,TurnedYellow,120222287087790108,VIDEO,🟡 TEST SCALE,3,2.78,36.0,78.0,⚠️ AVERAGE,🔍 TESTING,Comparison Hook,🎨 CREATIVE,Year-Round,Test with higher budget,"Sure, you could get another generic family photo",https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/07_Us_vs_Them_Comparison.mp4,https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/07_Us_vs_Them_Comparison.mp4,PENDING,.mp4,2025-06-24,2025-06-24 12:32:41
08 Kids React Video EDITED,TurnedYellow,120225001496540108,VIDEO,🟡 TEST SCALE,3,2.45,41.0,55.0,⚠️ AVERAGE,🔍 TESTING,Reaction Hook,🎨 CREATIVE,Year-Round,Test with higher budget,📸 One photo. Endless possibilities,https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/08_Kids_React_Video_EDITED.mp4,https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/08_Kids_React_Video_EDITED.mp4,PENDING,.mp4,2025-06-24,2025-06-24 12:32:41
09 Fathers Day Turn Royal V1,TurnedYellow,120225301124710108,VIDEO,🟡 TEST SCALE,3,2.12,47.0,38.0,⚠️ AVERAGE,🔍 TESTING,Transformation,🎨 CREATIVE,Father's Day,Test with higher budget,Turn me Royal - Bring a smile,https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/09_Fathers_Day_Turn_Royal_V1.mp4,https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/09_Fathers_Day_Turn_Royal_V1.mp4,PENDING,.mp4,2025-06-24,2025-06-24 12:32:41
10 Fathers Day Turn Royal V2,TurnedYellow,120225301124690108,VIDEO,🟡 TEST SCALE,3,1.98,51.0,42.0,🔻 LOW,🔍 TESTING,Transformation,🎨 CREATIVE,Father's Day,Test with higher budget,Turn me Royal V2 - Bring a smile,https://github.com/lac5q/creative-ads-repository/blob/main/TurnedYellow/10_Fathers_Day_Turn_Royal_V2.mp4,https://github.com/lac5q/creative-ads-repository/raw/main/TurnedYellow/10_Fathers_Day_Turn_Royal_V2.mp4,PENDING,.mp4,2025-06-24,2025-06-24 12:32:41
